invoice_id,client_id,due_date,paid_date,amount
INV00047,C057,2020-01-16,2020-01-28,8959.2
INV00048,C064,2020-01-31,2020-02-12,2531.95
INV00049,C064,2020-01-03,2020-02-16,3797.93
INV00050,C064,2020-02-02,2020-02-12,6329.88
INV00051,C065,2019-12-06,2020-01-03,1076.32
INV00052,C065,2019-12-30,2020-01-07,1614.48
INV00053,C069,2019-12-15,2020-01-03,4195.96
INV00054,C072,2020-01-16,2020-02-04,2631.88
INV00055,C074,2020-01-05,2020-01-24,5496.27
INV00056,C081,2019-12-22,2020-01-23,11157.25
INV00057,C088,2020-01-13,2020-02-02,1679.77
INV00058,C096,2019-11-30,2020-01-05,2553.67
INV00059,C100,2020-01-12,2020-02-11,2227.98
INV00060,C001,2020-02-04,2020-03-14,11243.74
INV00061,C002,2020-02-12,2020-02-24,10714.84
INV00062,C003,2020-01-20,2020-02-27,1716.05
INV00063,C004,2020-02-16,2020-03-14,1642.91
INV00064,C004,2020-02-26,2020-03-18,2464.36
INV00065,C006,2020-01-22,2020-03-03,327.23
INV00066,C006,2020-02-11,2020-03-07,490.84
INV00067,C007,2020-01-21,2020-02-18,8465.54
INV00068,C008,2020-01-23,2020-02-24,10779.32
INV00069,C009,2020-02-03,2020-02-12,3243.79
INV00070,C009,2020-02-01,2020-02-16,4865.69
INV00071,C010,2020-01-18,2020-02-20,8316.05
INV00072,C011,2020-02-02,2020-03-05,11696.03
INV00073,C012,2020-01-09,2020-02-18,12822.78
INV00074,C013,2020-01-17,2020-02-28,2012.94
INV00075,C014,2020-02-02,2020-03-13,11652.73
INV00076,C017,2020-01-14,2020-02-27,6835.96
INV00077,C018,2020-01-19,2020-02-17,3275.87
INV00078,C018,2020-01-27,2020-02-21,4913.81
INV00079,C021,2020-01-31,2020-03-10,5529.93
INV00080,C022,2020-01-26,2020-02-15,3580.66
INV00081,C022,2020-01-20,2020-02-19,5371.0
INV00082,C024,2020-02-05,2020-02-24,2517.72
INV00083,C026,2020-02-05,2020-02-27,4338.6
INV00084,C027,2020-01-14,2020-02-18,3715.46
INV00085,C028,2020-01-07,2020-02-15,7288.9
INV00086,C028,2020-01-01,2020-02-15,7288.9
INV00087,C030,2020-01-11,2020-02-20,2636.5
INV00088,C030,2020-01-15,2020-02-24,3954.76
INV00089,C031,2020-01-22,2020-02-24,1372.18
INV00090,C034,2020-02-15,2020-02-26,2297.87
INV00091,C036,2020-02-01,2020-03-17,10190.33
INV00092,C037,2020-02-27,2020-03-06,2316.25
INV00093,C038,2020-01-17,2020-02-19,8607.56
INV00094,C039,2020-02-26,2020-03-10,515.45
INV00095,C039,2020-02-22,2020-03-14,773.18
INV00096,C040,2020-01-27,2020-03-12,2345.68
INV00097,C041,2020-01-29,2020-02-25,4847.91
INV00098,C044,2020-01-16,2020-02-18,11410.88
INV00099,C045,2020-02-08,2020-03-09,9430.77
INV00100,C046,2019-12-29,2020-02-08,9408.27
INV00101,C047,2020-01-26,2020-02-17,4457.48
INV00102,C049,2020-01-16,2020-02-06,5949.8
INV00103,C053,2020-01-07,2020-02-08,300.67
INV00104,C053,2020-01-06,2020-02-12,451.0
INV00105,C054,2020-02-29,2020-03-15,1460.89
INV00106,C059,2020-01-01,2020-02-08,15431.03
INV00107,C060,2020-02-06,2020-03-09,1956.41
INV00108,C060,2020-02-06,2020-03-13,2934.62
INV00109,C064,2020-01-10,2020-02-23,1373.61
INV00110,C064,2020-02-04,2020-02-27,2060.41
INV00111,C066,2020-01-22,2020-02-05,5887.56
INV00112,C067,2020-02-18,2020-02-26,6131.23
INV00113,C073,2020-01-07,2020-02-07,16609.41
INV00114,C075,2020-01-21,2020-02-04,5942.08
INV00115,C075,2020-01-13,2020-02-08,8913.13
INV00116,C076,2020-02-10,2020-03-07,4123.58
INV00117,C076,2020-02-28,2020-03-11,6185.37
INV00118,C077,2019-12-25,2020-02-07,8658.29
INV00119,C080,2020-01-26,2020-02-09,13393.01
INV00120,C081,2020-02-08,2020-03-17,9436.36
INV00121,C082,2020-02-18,2020-03-15,5612.4
INV00122,C082,2020-02-21,2020-03-19,8418.6
INV00123,C088,2020-02-14,2020-03-03,763.64
INV00124,C094,2020-01-11,2020-02-10,13796.18
INV00125,C096,2020-02-13,2020-03-11,8189.81
INV00126,C099,2020-01-05,2020-02-03,14584.77
INV00127,C001,2020-03-12,2020-04-05,4180.69
INV00128,C002,2020-02-04,2020-03-04,4195.91
INV00129,C002,2020-02-27,2020-03-08,6293.87
INV00130,C003,2020-03-06,2020-03-16,1605.34
INV00131,C004,2020-02-13,2020-03-02,1511.25
INV00132,C004,2020-02-18,2020-03-06,2266.87
INV00133,C005,2020-03-28,2020-04-15,2773.59
INV00134,C006,2020-03-17,2020-04-08,800.88
INV00135,C007,2020-03-17,2020-04-09,8604.84
INV00136,C008,2020-02-05,2020-03-10,3990.36
INV00137,C008,2020-01-29,2020-03-14,5985.54
INV00138,C009,2020-02-09,2020-03-24,8174.09
INV00139,C010,2020-03-11,2020-04-04,3590.03
INV00140,C010,2020-02-23,2020-04-08,5385.04
INV00141,C011,2020-03-20,2020-04-14,9622.74
INV00142,C012,2020-02-10,2020-03-26,10452.4
INV00143,C016,2020-04-02,2020-04-12,1618.34
INV00144,C016,2020-03-31,2020-04-16,2427.51
INV00145,C017,2020-02-05,2020-03-15,8181.77
INV00146,C021,2020-03-22,2020-04-08,2001.87
INV00147,C021,2020-03-30,2020-04-12,3002.8
INV00148,C024,2020-02-27,2020-04-04,1435.6
INV00149,C024,2020-03-19,2020-04-08,2153.41
INV00150,C025,2020-01-20,2020-03-04,4128.62
INV00151,C025,2020-02-24,2020-03-08,6192.93
INV00152,C027,2020-02-10,2020-03-19,4527.4
INV00153,C030,2020-02-21,2020-03-22,11147.9
INV00154,C031,2020-02-02,2020-03-08,2632.99
INV00155,C034,2020-03-30,2020-04-07,1653.71
INV00156,C036,2020-02-01,2020-03-14,4649.38
INV00157,C036,2020-03-10,2020-03-18,6974.07
INV00158,C037,2020-03-07,2020-04-13,2348.53
INV00159,C038,2020-01-19,2020-03-04,7030.4
INV00160,C039,2020-03-05,2020-04-03,1065.78
INV00161,C040,2020-04-03,2020-04-12,1839.33
INV00162,C041,2020-02-16,2020-03-20,4131.76
INV00163,C042,2020-03-08,2020-04-08,4688.7
INV00164,C042,2020-03-10,2020-04-12,7033.05
INV00165,C043,2020-01-29,2020-03-06,1859.31
INV00166,C044,2020-03-20,2020-04-01,8721.97
INV00167,C045,2020-01-29,2020-03-06,10058.09
INV00168,C046,2020-02-04,2020-03-12,7529.76
INV00169,C047,2020-02-25,2020-04-10,6455.14
INV00170,C050,2020-03-30,2020-04-06,9315.54
INV00171,C052,2020-04-04,2020-04-15,2112.02
INV00172,C058,2020-03-15,2020-03-24,3696.34
INV00173,C058,2020-03-21,2020-03-28,5544.52
INV00174,C059,2020-03-06,2020-03-13,9603.58
INV00175,C062,2020-01-29,2020-03-03,1464.37
INV00176,C066,2020-03-13,2020-03-27,7724.69
INV00177,C067,2020-03-22,2020-04-02,8172.29
INV00178,C068,2020-03-10,2020-04-03,4660.79
INV00179,C073,2020-02-24,2020-03-05,17504.58
INV00180,C079,2020-03-08,2020-03-15,5422.16
INV00181,C081,2020-02-18,2020-03-26,5255.06
INV00182,C082,2020-02-03,2020-03-15,2548.18
INV00183,C083,2020-02-16,2020-03-06,8297.79
INV00184,C083,2020-01-25,2020-03-06,8297.79
INV00185,C087,2020-01-29,2020-03-05,7036.27
INV00186,C090,2020-03-01,2020-03-24,13172.02
INV00187,C091,2020-02-16,2020-03-10,1122.63
INV00188,C096,2020-02-21,2020-03-31,2064.74
INV00189,C096,2020-03-20,2020-04-04,3097.11
INV00190,C097,2020-02-23,2020-03-26,4378.83
INV00191,C098,2020-02-27,2020-03-09,13602.41
INV00192,C001,2020-03-30,2020-04-11,10258.22
INV00193,C002,2020-02-29,2020-04-12,4261.42
INV00194,C002,2020-03-15,2020-04-16,6392.13
INV00195,C004,2020-03-17,2020-04-21,1507.34
INV00196,C004,2020-04-17,2020-04-25,2261.01
INV00197,C005,2020-02-26,2020-04-06,1104.05
INV00198,C005,2020-03-09,2020-04-10,1656.07
INV00199,C006,2020-04-13,2020-05-09,757.19
INV00200,C007,2020-04-05,2020-05-06,8608.08
INV00201,C008,2020-04-02,2020-04-22,10654.81
INV00202,C009,2020-03-04,2020-04-05,8165.93
INV00203,C010,2020-02-19,2020-04-02,8566.99
INV00204,C011,2020-03-24,2020-04-15,4611.85
INV00205,C011,2020-03-29,2020-04-19,6917.77
INV00206,C012,2020-04-07,2020-04-17,11857.12
INV00207,C013,2020-03-10,2020-04-24,2208.22
INV00208,C014,2020-04-04,2020-05-12,4891.62
INV00209,C014,2020-04-21,2020-05-16,7337.43
INV00210,C015,2020-03-28,2020-04-24,7052.57
INV00211,C016,2020-02-24,2020-04-06,5280.53
INV00212,C018,2020-03-06,2020-04-04,6548.9
INV00213,C019,2020-04-12,2020-05-16,5577.43
INV00214,C021,2020-04-01,2020-05-05,4534.86
INV00215,C024,2020-04-06,2020-05-15,3773.77
INV00216,C026,2020-04-04,2020-05-04,5019.55
INV00217,C027,2020-04-04,2020-04-28,4721.86
INV00218,C028,2020-03-25,2020-04-08,10750.11
INV00219,C029,2020-04-16,2020-05-16,9365.6
INV00220,C032,2020-03-26,2020-05-08,946.83
INV00221,C035,2020-04-08,2020-05-04,4076.21
INV00222,C038,2020-03-30,2020-05-10,2211.98
INV00223,C038,2020-04-21,2020-05-14,3317.97
INV00224,C040,2020-03-10,2020-04-02,2362.88
INV00225,C044,2020-03-20,2020-04-26,2568.29
INV00226,C044,2020-03-22,2020-04-30,3852.44
INV00227,C045,2020-04-26,2020-05-14,6404.33
INV00228,C046,2020-04-16,2020-04-25,1871.01
INV00229,C046,2020-04-22,2020-04-29,2806.52
INV00230,C047,2020-04-23,2020-05-06,8152.12
INV00231,C050,2020-03-27,2020-05-10,2746.87
INV00232,C050,2020-05-01,2020-05-14,4120.3
INV00233,C055,2020-04-02,2020-05-12,2229.85
INV00234,C057,2020-04-13,2020-05-12,3583.02
INV00235,C057,2020-04-02,2020-05-16,5374.54
INV00236,C063,2020-04-01,2020-05-04,2180.23
INV00237,C070,2020-03-16,2020-04-25,5507.75
INV00238,C072,2020-04-10,2020-04-25,3196.7
INV00239,C075,2020-04-20,2020-05-13,3191.71
INV00240,C077,2020-04-22,2020-05-07,5306.7
INV00241,C079,2020-04-19,2020-05-09,7938.32
INV00242,C079,2020-04-17,2020-05-13,11907.48
INV00243,C080,2020-04-20,2020-05-02,3497.42
INV00244,C081,2020-04-18,2020-05-14,3416.44
INV00245,C086,2020-03-22,2020-04-18,4515.14
INV00246,C090,2020-03-12,2020-04-16,4304.06
INV00247,C092,2020-03-23,2020-05-05,9482.12
INV00248,C096,2020-03-11,2020-04-08,2022.93
INV00249,C096,2020-03-16,2020-04-12,3034.39
INV00250,C001,2020-04-30,2020-06-13,11212.34
INV00251,C002,2020-05-20,2020-05-29,10652.09
INV00252,C003,2020-04-23,2020-05-21,1598.6
INV00253,C005,2020-05-20,2020-06-04,2655.15
INV00254,C006,2020-04-21,2020-06-03,765.17
INV00255,C007,2020-04-20,2020-05-09,3491.51
INV00256,C007,2020-04-17,2020-05-13,5237.26
INV00257,C008,2020-04-28,2020-05-15,3950.9
INV00258,C008,2020-05-01,2020-05-19,5926.35
INV00259,C011,2020-05-08,2020-05-17,10733.72
INV00260,C014,2020-03-25,2020-05-07,6872.26
INV00261,C016,2020-05-11,2020-05-25,8387.11
INV00262,C017,2020-05-06,2020-05-17,8315.31
INV00263,C018,2020-04-20,2020-05-16,7269.64
INV00264,C020,2020-04-10,2020-05-23,3342.94
INV00265,C022,2020-05-31,2020-06-11,6178.19
INV00266,C023,2020-05-29,2020-06-13,13019.52
INV00267,C023,2020-05-24,2020-06-13,13019.52
INV00268,C024,2020-04-30,2020-06-01,7985.82
INV00269,C025,2020-04-19,2020-05-29,9896.18
INV00270,C026,2020-04-20,2020-05-23,6807.55
INV00271,C027,2020-04-24,2020-05-28,4029.41
INV00272,C028,2020-04-21,2020-05-18,9775.63
INV00273,C029,2020-04-02,2020-05-13,5976.66
INV00274,C030,2020-05-06,2020-06-10,9823.32
INV00275,C031,2020-05-14,2020-06-09,1095.77
INV00276,C031,2020-05-27,2020-06-13,1643.65
INV00277,C032,2020-05-03,2020-05-27,956.44
INV00278,C035,2020-03-21,2020-05-02,933.21
INV00279,C035,2020-03-28,2020-05-06,1399.81
INV00280,C036,2020-05-01,2020-05-14,2401.06
INV00281,C036,2020-04-21,2020-05-18,3601.59
INV00282,C037,2020-05-01,2020-05-08,2851.92
INV00283,C038,2020-05-17,2020-05-29,9383.85
INV00284,C039,2020-05-04,2020-05-24,1213.24
INV00285,C040,2020-04-12,2020-05-03,1653.72
INV00286,C041,2020-05-20,2020-06-06,4407.19
INV00287,C042,2020-04-28,2020-05-21,12605.45
INV00288,C045,2020-05-03,2020-06-14,6123.07
INV00289,C046,2020-05-10,2020-06-07,5413.2
INV00290,C050,2020-04-07,2020-05-20,5874.52
INV00291,C053,2020-04-25,2020-06-09,2040.74
INV00292,C054,2020-04-14,2020-05-28,2081.48
INV00293,C055,2020-05-08,2020-05-16,2133.74
INV00294,C066,2020-04-19,2020-05-24,2713.04
INV00295,C069,2020-04-27,2020-05-07,2169.98
INV00296,C074,2020-04-03,2020-05-08,14075.75
INV00297,C076,2020-05-08,2020-06-01,4975.35
INV00298,C079,2020-03-27,2020-05-06,17754.07
INV00299,C081,2020-05-13,2020-06-08,2828.99
INV00300,C088,2020-04-04,2020-05-15,2097.8
INV00301,C090,2020-04-08,2020-05-13,1697.08
INV00302,C090,2020-04-30,2020-05-17,2545.62
INV00303,C094,2020-04-21,2020-05-08,3510.0
INV00304,C098,2020-05-06,2020-06-15,11272.02
INV00305,C001,2020-06-02,2020-06-18,10755.62
INV00306,C002,2020-06-05,2020-06-15,10577.88
INV00307,C003,2020-05-23,2020-06-26,1675.67
INV00308,C004,2020-07-08,2020-07-16,4072.49
INV00309,C005,2020-06-26,2020-07-10,2746.11
INV00310,C006,2020-05-26,2020-06-29,808.08
INV00311,C007,2020-06-05,2020-07-10,5344.2
INV00312,C008,2020-06-22,2020-07-07,10744.25
INV00313,C009,2020-06-12,2020-06-20,8682.76
INV00314,C011,2020-06-01,2020-06-21,2097.76
INV00315,C011,2020-05-23,2020-06-25,3146.64
INV00316,C013,2020-05-05,2020-06-04,912.93
INV00317,C013,2020-05-07,2020-06-08,1369.39
INV00318,C015,2020-05-07,2020-06-12,5158.83
INV00319,C017,2020-05-27,2020-06-14,4333.67
INV00320,C017,2020-05-11,2020-06-18,6500.5
INV00321,C019,2020-05-29,2020-06-15,6144.49
INV00322,C027,2020-06-19,2020-07-01,1505.01
INV00323,C030,2020-06-26,2020-07-07,10740.8
INV00324,C031,2020-05-29,2020-06-18,2741.19
INV00325,C032,2020-05-23,2020-06-23,1526.78
INV00326,C035,2020-06-08,2020-06-22,3061.26
INV00327,C036,2020-06-20,2020-06-28,6189.96
INV00328,C040,2020-06-21,2020-06-30,1167.63
INV00329,C041,2020-06-05,2020-07-15,3733.72
INV00330,C042,2020-06-02,2020-07-15,5048.55
INV00331,C042,2020-06-25,2020-07-19,7572.83
INV00332,C044,2020-05-29,2020-07-05,8283.67
INV00333,C045,2020-05-27,2020-06-30,6511.63
INV00334,C046,2020-06-02,2020-07-03,7156.83
INV00335,C047,2020-05-24,2020-06-02,1953.32
INV00336,C047,2020-05-22,2020-06-06,2929.98
INV00337,C049,2020-05-11,2020-06-09,4381.25
INV00338,C055,2020-05-13,2020-06-25,2114.7
INV00339,C057,2020-05-23,2020-06-28,15754.98
INV00340,C059,2020-06-04,2020-07-04,4536.68
INV00341,C059,2020-06-26,2020-07-08,6805.03
INV00342,C063,2020-06-04,2020-06-11,3707.11
INV00343,C068,2020-05-27,2020-06-14,10984.43
INV00344,C072,2020-05-11,2020-06-08,1925.44
INV00345,C080,2020-05-23,2020-06-06,1540.66
INV00346,C080,2020-05-17,2020-06-10,2310.99
INV00347,C082,2020-06-12,2020-06-23,6797.54
INV00348,C085,2020-06-02,2020-06-15,6656.61
INV00349,C087,2020-05-24,2020-06-30,3406.37
INV00350,C087,2020-05-27,2020-07-04,5109.56
INV00351,C094,2020-06-29,2020-07-08,8478.07
INV00352,C096,2020-05-26,2020-06-29,2694.72
INV00353,C096,2020-05-25,2020-07-03,4042.08
INV00354,C097,2020-06-18,2020-07-03,6651.83
INV00355,C001,2020-06-01,2020-07-15,10663.91
INV00356,C002,2020-05-20,2020-07-04,11056.7
INV00357,C004,2020-07-08,2020-07-30,4101.51
INV00358,C005,2020-07-17,2020-08-11,2661.02
INV00359,C006,2020-07-10,2020-07-17,773.09
INV00360,C007,2020-06-30,2020-07-14,8297.44
INV00361,C008,2020-06-15,2020-07-25,10556.52
INV00362,C009,2020-06-29,2020-07-18,8205.34
INV00363,C010,2020-07-31,2020-08-09,9009.91
INV00364,C011,2020-06-30,2020-07-12,2444.67
INV00365,C011,2020-06-05,2020-07-16,3667.01
INV00366,C013,2020-06-17,2020-07-02,2593.1
INV00367,C016,2020-05-21,2020-07-02,4155.26
INV00368,C017,2020-06-09,2020-07-23,11851.01
INV00369,C020,2020-06-14,2020-07-07,2140.77
INV00370,C021,2020-06-11,2020-07-02,3951.89
INV00371,C022,2020-07-04,2020-08-09,5257.37
INV00372,C028,2020-05-28,2020-07-06,4472.35
INV00373,C028,2020-06-26,2020-07-10,6708.52
INV00374,C032,2020-06-16,2020-07-12,895.08
INV00375,C035,2020-06-16,2020-07-25,1320.77
INV00376,C035,2020-07-14,2020-07-29,1981.15
INV00377,C038,2020-07-15,2020-08-06,8007.89
INV00378,C039,2020-06-10,2020-07-19,1479.53
INV00379,C040,2020-06-13,2020-07-02,952.63
INV00380,C040,2020-06-01,2020-07-06,1428.95
INV00381,C041,2020-07-24,2020-08-11,2804.05
INV00382,C042,2020-06-17,2020-07-21,6005.21
INV00383,C043,2020-06-20,2020-07-07,1498.99
INV00384,C045,2020-06-27,2020-08-10,3107.39
INV00385,C045,2020-07-12,2020-08-14,4661.08
INV00386,C046,2020-06-27,2020-07-04,8805.42
INV00387,C047,2020-07-08,2020-07-26,5908.58
INV00388,C048,2020-05-29,2020-07-06,10317.0
INV00389,C058,2020-07-29,2020-08-10,6588.63
INV00390,C058,2020-07-31,2020-08-14,9882.95
INV00391,C063,2020-05-25,2020-07-02,3227.19
INV00392,C069,2020-06-11,2020-07-09,1030.83
INV00393,C075,2020-06-30,2020-07-28,11205.51
INV00394,C077,2020-06-28,2020-07-05,8383.55
INV00395,C081,2020-05-21,2020-07-02,3007.83
INV00396,C084,2020-06-23,2020-08-02,7123.48
INV00397,C093,2020-06-30,2020-07-30,5436.81
INV00398,C095,2020-07-26,2020-08-02,629.98
INV00399,C096,2020-07-03,2020-08-09,6436.42
INV00400,C100,2020-07-01,2020-08-09,2068.87
INV00401,C001,2020-08-05,2020-08-14,10575.22
INV00402,C002,2020-06-24,2020-08-04,4204.47
INV00403,C002,2020-06-28,2020-08-08,6306.7
INV00404,C003,2020-08-24,2020-09-06,1725.77
INV00405,C004,2020-07-07,2020-08-16,4032.26
INV00406,C005,2020-07-19,2020-08-08,2754.08
INV00407,C006,2020-08-20,2020-09-11,820.01
INV00408,C007,2020-08-20,2020-09-13,8586.79
INV00409,C008,2020-06-23,2020-08-06,10441.1
INV00410,C009,2020-08-11,2020-09-13,8124.7
INV00411,C010,2020-08-19,2020-08-28,8669.39
INV00412,C011,2020-08-02,2020-08-23,7775.45
INV00413,C012,2020-08-27,2020-09-15,2478.19
INV00414,C012,2020-09-02,2020-09-19,3717.28
INV00415,C014,2020-07-11,2020-08-03,13365.87
INV00416,C015,2020-08-22,2020-08-30,1961.93
INV00417,C015,2020-08-06,2020-09-03,2942.89
INV00418,C016,2020-08-20,2020-09-10,6753.35
INV00419,C017,2020-07-23,2020-08-15,11871.95
INV00420,C018,2020-08-14,2020-08-27,7970.95
INV00421,C020,2020-07-13,2020-08-14,2162.49
INV00422,C022,2020-07-03,2020-08-08,3769.16
INV00423,C022,2020-06-28,2020-08-12,5653.74
INV00424,C027,2020-07-13,2020-08-14,5418.56
INV00425,C028,2020-08-28,2020-09-07,4068.87
INV00426,C028,2020-08-24,2020-09-11,6103.31
INV00427,C030,2020-07-29,2020-08-22,9884.05
INV00428,C032,2020-08-04,2020-08-18,319.07
INV00429,C032,2020-07-31,2020-08-22,478.6
INV00430,C033,2020-07-18,2020-08-19,9892.85
INV00431,C035,2020-07-29,2020-08-18,2228.22
INV00432,C038,2020-07-30,2020-09-13,6487.49
INV00433,C040,2020-08-27,2020-09-09,641.1
INV00434,C040,2020-09-04,2020-09-13,961.64
INV00435,C043,2020-08-15,2020-09-11,2333.29
INV00436,C044,2020-07-11,2020-08-03,12162.53
INV00437,C047,2020-08-24,2020-09-13,3120.82
INV00438,C047,2020-08-27,2020-09-17,4681.23
INV00439,C049,2020-07-18,2020-08-27,5373.69
INV00440,C050,2020-08-09,2020-08-29,9338.43
INV00441,C051,2020-07-11,2020-08-23,1250.99
INV00442,C051,2020-07-18,2020-08-27,1876.48
INV00443,C053,2020-08-15,2020-09-10,646.32
INV00444,C054,2020-08-17,2020-09-06,3352.32
INV00445,C062,2020-08-03,2020-08-30,4454.41
INV00446,C064,2020-07-04,2020-08-16,12304.06
INV00447,C065,2020-07-19,2020-08-03,1139.44
INV00448,C066,2020-08-19,2020-09-07,11124.55
INV00449,C069,2020-07-30,2020-08-13,1522.73
INV00450,C070,2020-08-19,2020-09-09,11564.24
INV00451,C071,2020-08-09,2020-09-14,6675.23
INV00452,C077,2020-08-13,2020-09-07,1679.4
INV00453,C078,2020-07-28,2020-08-28,2340.22
INV00454,C082,2020-07-12,2020-08-13,8642.67
INV00455,C084,2020-08-01,2020-08-30,5442.03
INV00456,C085,2020-07-25,2020-08-17,4029.39
INV00457,C087,2020-08-03,2020-08-31,3936.67
INV00458,C091,2020-07-29,2020-09-07,683.74
INV00459,C091,2020-08-07,2020-09-07,683.74
INV00460,C097,2020-07-16,2020-08-27,6223.23
INV00461,C100,2020-08-06,2020-08-28,2091.05
INV00462,C001,2020-08-14,2020-09-13,10893.36
INV00463,C002,2020-08-24,2020-10-01,10703.74
INV00464,C003,2020-09-25,2020-10-02,1629.18
INV00465,C004,2020-10-08,2020-10-15,4041.1
INV00466,C005,2020-08-16,2020-09-24,2771.62
INV00467,C006,2020-09-09,2020-10-16,761.07
INV00468,C007,2020-08-01,2020-09-09,8069.84
INV00469,C008,2020-08-28,2020-10-07,9944.83
INV00470,C008,2020-09-17,2020-10-07,9944.83
INV00471,C009,2020-10-07,2020-10-14,8475.25
INV00472,C010,2020-09-30,2020-10-08,9081.0
INV00473,C011,2020-09-14,2020-09-22,6688.41
INV00474,C012,2020-08-26,2020-09-18,3643.08
INV00475,C012,2020-08-28,2020-09-22,5464.62
INV00476,C013,2020-09-02,2020-09-15,2131.07
INV00477,C014,2020-10-07,2020-10-15,8163.6
INV00478,C015,2020-08-16,2020-09-26,6750.39
INV00479,C018,2020-09-26,2020-10-14,7421.52
INV00480,C019,2020-08-03,2020-09-03,7273.93
INV00481,C020,2020-08-22,2020-09-06,2566.41
INV00482,C022,2020-10-04,2020-10-11,2939.98
INV00483,C022,2020-09-20,2020-10-15,4409.97
INV00484,C025,2020-08-31,2020-09-18,4045.55
INV00485,C025,2020-08-21,2020-09-22,6068.32
INV00486,C032,2020-09-07,2020-09-19,764.7
INV00487,C033,2020-08-24,2020-09-03,13628.35
INV00488,C037,2020-09-09,2020-10-02,1515.57
INV00489,C038,2020-09-03,2020-09-14,7607.82
INV00490,C039,2020-09-23,2020-10-07,1106.87
INV00491,C041,2020-09-28,2020-10-06,2212.86
INV00492,C041,2020-09-08,2020-10-10,3319.29
INV00493,C043,2020-09-22,2020-10-15,1639.62
INV00494,C049,2020-09-24,2020-10-14,2125.43
INV00495,C059,2020-09-03,2020-10-08,12270.2
INV00496,C063,2020-09-14,2020-09-21,1177.3
INV00497,C066,2020-08-13,2020-09-22,5391.15
INV00498,C071,2020-09-01,2020-10-12,14621.19
INV00499,C075,2020-08-19,2020-09-08,11179.65
INV00500,C077,2020-08-26,2020-10-03,3953.72
INV00501,C081,2020-09-14,2020-09-25,2873.05
INV00502,C081,2020-08-30,2020-09-29,4309.57
INV00503,C083,2020-08-28,2020-10-02,4725.06
INV00504,C086,2020-08-29,2020-10-10,8735.72
INV00505,C086,2020-09-21,2020-10-10,8735.72
INV00506,C091,2020-07-24,2020-09-06,231.36
INV00507,C091,2020-08-04,2020-09-10,347.05
INV00508,C096,2020-07-23,2020-09-04,7812.08
INV00509,C099,2020-09-19,2020-10-06,13797.4
INV00510,C100,2020-09-14,2020-10-07,2863.43
INV00511,C001,2020-09-06,2020-10-18,6651.78
INV00512,C002,2020-10-15,2020-11-02,4442.31
INV00513,C002,2020-10-08,2020-11-06,6663.47
INV00514,C003,2020-10-20,2020-11-07,1709.97
INV00515,C004,2020-09-12,2020-10-02,4057.6
INV00516,C005,2020-09-11,2020-10-26,2676.94
INV00517,C005,2020-09-25,2020-10-26,2676.94
INV00518,C007,2020-10-10,2020-10-25,3458.02
